service_id,client_name,service_type,stylist_name,price,duration_minutes,appointment_date,payment_status,notes,added_by,added_by_role,uploaded_at,Business Name,Business Address,Business Phone,Business Website,Business Email,Facebook,Twitter,Linkedin,Keyword,Location,Date Extracted
1.0,Emma Johnson,Haircut & Style,Alice Smith,45.0,60.0,2024-01-10,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
2.0,Sarah Williams,Hair Coloring – Full,Bob Davis,130.0,180.0,2024-01-10,paid,Highlights + toner,system,system,2024-01-10 09:00:00,,,,,,,,,,,
3.0,Michael Brown,Beard Trim & Shape,Charlie Wilson,25.0,30.0,2024-01-11,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
4.0,Priya Patel,Bridal Makeup,Alice Smith,200.0,120.0,2024-01-12,paid,Wedding package,system,system,2024-01-10 09:00:00,,,,,,,,,,,
5.0,Lucas Martinez,Hair Wash & Blowdry,Diana Lee,35.0,45.0,2024-01-13,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
6.0,Aisha Khan,Keratin Treatment,Bob Davis,180.0,180.0,2024-01-14,paid,Smooth & frizz-free,system,system,2024-01-10 09:00:00,,,,,,,,,,,
7.0,Tom Henderson,Classic Shave,Charlie Wilson,20.0,25.0,2024-01-15,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
8.0,Sophie Clark,Balayage Coloring,Alice Smith,160.0,210.0,2024-01-15,pending,Sun-kissed look,system,system,2024-01-10 09:00:00,,,,,,,,,,,
9.0,James O'Brien,Hair & Beard Combo,Charlie Wilson,55.0,75.0,2024-01-16,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
10.0,Meera Sharma,Head Spa Treatment,Diana Lee,90.0,90.0,2024-01-17,paid,Scalp massage + mask,system,system,2024-01-10 09:00:00,,,,,,,,,,,
11.0,Nina Robinson,Eyebrow Shaping,Alice Smith,15.0,20.0,2024-01-18,paid,,system,system,2024-01-10 09:00:00,,,,,,,,,,,
12.0,Carlos Fernandez,Hair Straightening,Bob Davis,140.0,150.0,2024-01-19,paid,Permanent straightening,system,system,2024-01-10 09:00:00,,,,,,,,,,,
13.0,Fatima Al-Hassan,Henna Hair Color,Diana Lee,75.0,90.0,2024-01-20,paid,Natural henna,system,system,2024-01-10 09:00:00,,,,,,,,,,,
14.0,Ryan Thompson,Kids Haircut,Charlie Wilson,20.0,30.0,2024-01-21,paid,Age 8,system,system,2024-01-10 09:00:00,,,,,,,,,,,
15.0,Isabella Costa,Nail Art & Manicure,Diana Lee,50.0,60.0,2024-01-22,paid,Gel polish + art,system,system,2024-01-10 09:00:00,,,,,,,,,,,
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,SmartStyle Hair Salon,"SmartStyle Hair Salon, 335 Farmers Market Road #101, WALMART, Waterloo, ON N2V 1A4, Canada",+1 519-884-4256,https://www.smartstyle.com/checkin/52244,,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,So Chiq Studio,"So Chiq Studio, 42 Bridgeport Rd E, Waterloo, ON N2J 0B3, Canada",+1 519-885-0420,http://sochiqstudio.com/,,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Uday Stylist,"Uday Stylist, 122 Weber St S, Waterloo, ON N2J 2A7, Canada",+1 226-507-9950,http://www.udaystylist.com/,info@udaystylist.com,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Heart and Soul Beauty Bar,"Heart and Soul Beauty Bar, 11 Erb St E, Waterloo, ON N2J 1L4, Canada",+1 519-722-4669,https://www.heartandsoulbeautybar.com/,info@heartandsoulbeautybar.com,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Blessed Hair Studio,"Blessed Hair Studio, 347 Erb St. W, Waterloo, ON N2L 1W4, Canada",+1 519-208-0061,https://blessedhairstudiokw.com/,,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,At Raymond's Hair & Day Spa,"At Raymond's Hair & Day Spa, 550 King St N, Waterloo, ON N2L 5W6, Canada",+1 519-725-2302,http://www.atraymonds.com/,info@atraymonds.com,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Elz & Greco Hair & Beauty Studio Inc.,"Elz & Greco Hair & Beauty Studio Inc., 52 King St N unit B, Waterloo, ON N2J 2W8, Canada",+1 548-288-4114,https://elzandgreco.com/,info@elzandgreco.com,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Universal Barber & Beauty,"Universal Barber & Beauty, 65 University Ave E, Waterloo, ON N2J 2V9, Canada",+1 519-886-3232,https://booksy.com/en-ca/7032_universal-barber-beauty_barbers_970668_waterloo,info@booksy.com,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Aaina Salon & Spa,"Aaina Salon & Spa, 5 Laurel St, Waterloo, ON N2J 2H1, Canada",+1 519-570-0000,http://aainasalon.com/,aainasalon@gmail.com,https://www.facebook.com/aainaspasalon/,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
,,,,,,,,,sales_john,salesperson,2026-05-18 09:01:38,Absolute Hair Studio,"Absolute Hair Studio, 8 Regina St N, Waterloo, ON N2J 2Z8, Canada",+1 519-883-3917,http://absolutehair.ca/,info@absolutehair.ca,,,,Salon,"Waterloo, Canada",2/18/2023 2:24:43 AM
